shuffle,test_unit,model_idx,model_unit,mouse,date,step,labels_this_video,total_labels,median_frame_rmse_px,p90_frame_rmse_px,frac_frames_rmse_gt_50px,frac_points_conf_ge_0.6,median_pupil_top_px,median_pupil_bottom_px,median_pupil_left_px,median_pupil_right_px,median_eyelid_top_px,median_eyelid_bottom_px,median_eye_nasal_corner_px,median_eye_temporal_corner_px
422,3_20251031_pluto3,17.0,3_20251031_pluto3,mouse B (Pluto),2025-10-31,2.0,40.0,300.0,3.87,15.83,0.0,0.952,5.46,2.63,2.42,1.63,2.04,2.42,1.85,1.95
423,0_first5minvedio,18.0,3_20251031_pluto3,mouse B (Pluto),2025-10-31,3.0,60.0,320.0,12.88,18.31,0.0,0.962,11.19,4.36,7.76,4.8,12.77,5.51,17.73,11.72
423,1_20251031_Pluto_spont_1,18.0,3_20251031_pluto3,mouse B (Pluto),2025-10-31,3.0,60.0,320.0,11.59,19.89,0.0,0.983,9.05,6.79,13.14,2.98,7.85,7.15,13.43,12.66
423,2_20251031_pluton2,18.0,3_20251031_pluto3,mouse B (Pluto),2025-10-31,3.0,60.0,320.0,7.04,12.57,0.0,0.952,9.77,1.62,3.97,3.52,5.3,1.17,4.86,4.8
423,3_20251031_pluto3,18.0,3_20251031_pluto3,mouse B (Pluto),2025-10-31,3.0,60.0,320.0,3.63,10.19,0.0,0.955,5.08,2.97,2.05,1.44,1.33,2.15,2.37,1.98
111,4_20251030_Pluto_spont_1,0.0,0_first5minvedio,mouse A,5-min recording,1.0,20.0,20.0,353.21,405.88,0.92,0.029,52.9,511.52,253.32,43.1,48.55,452.72,36.65,731.56
112,4_20251030_Pluto_spont_1,1.0,0_first5minvedio,mouse A,5-min recording,2.0,40.0,40.0,217.28,339.29,0.98,0.12,381.0,30.45,251.5,29.73,355.78,7.15,59.74,70.42
113,4_20251030_Pluto_spont_1,2.0,0_first5minvedio,mouse A,5-min recording,3.0,60.0,60.0,292.5,352.38,1.0,0.185,372.08,35.41,256.36,27.64,350.89,4.47,46.89,588.34
114,4_20251030_Pluto_spont_1,3.0,0_first5minvedio,mouse A,5-min recording,4.0,80.0,80.0,273.24,405.68,1.0,0.135,256.4,37.98,258.68,25.32,193.06,7.85,190.43,345.32
115,4_20251030_Pluto_spont_1,4.0,0_first5minvedio,mouse A,5-min recording,5.0,100.0,100.0,245.5,339.98,1.0,0.133,291.05,32.47,257.79,26.43,294.51,7.01,69.33,69.48
211,4_20251030_Pluto_spont_1,5.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,1.0,20.0,120.0,154.87,185.46,0.82,0.284,50.55,35.44,427.54,29.75,4.05,3.17,11.81,18.99
212,4_20251030_Pluto_spont_1,6.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,2.0,40.0,140.0,100.46,220.89,0.8,0.438,83.77,28.43,239.85,24.99,15.35,3.16,4.08,9.1
213,4_20251030_Pluto_spont_1,7.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,3.0,60.0,160.0,37.4,86.06,0.24,0.513,50.95,31.46,90.08,22.98,2.87,2.48,6.88,10.46
